code,lu,ref_to,Flor_Cov_P1_b,Flor_Cov_P1_l,Flor_Cov_P1_u,Flor_Cov_P2_b,Flor_Cov_P2_l,Flor_Cov_P2_u,Flor_Cov_P3_b,Flor_Cov_P3_l,Flor_Cov_P3_u,Flor_Cov_P4_b,Flor_Cov_P4_l,Flor_Cov_P4_u
0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
1,1,NA,9.848484848,7.132785301,12.5641844,9.848484848,7.132785301,12.5641844,33.82154882,24.8148657,42.82823194,14.4,9.706969386,19.09303061
2,2,NA,7.87037037,5.958005751,9.78273499,7.87037037,5.958005751,9.78273499,41.65,33.60675068,49.69324932,11.76954733,9.682061438,13.85703321
3,3,NA,3.333333333,1.886384586,4.780282081,3.333333333,1.886384586,4.780282081,13.50877193,8.751320798,18.26622306,7.873684211,4.414377407,11.33299101
4,4,NA,16.43687131,14.01308297,18.86065966,16.43687131,14.01308297,18.86065966,44.67236467,38.10135001,51.24337934,13.98622982,11.22361506,16.74884458
5,5,NA,12.43367935,9.432835623,15.43452309,12.43367935,9.432835623,15.43452309,47.95937211,42.65192873,53.2668155,15.43209877,11.85586081,19.00833672
6,6,NA,13.68651893,10.86070776,16.51233009,13.68651893,10.86070776,16.51233009,47.5,40.12481024,54.87518976,16.32653061,13.49008686,19.16297437
7,7,NA,24.8816568,21.48347483,28.27983878,24.8816568,21.48347483,28.27983878,75.93425606,71.20464732,80.66386479,42.43255601,37.67916698,47.18594505
8,8,NA,11.05820106,8.437717512,13.6786846,11.05820106,8.437717512,13.6786846,40.83333333,33.14056114,48.52610552,14.90551776,11.22797545,18.58306007
9,9,NA,13.65,9.918687891,17.38131211,13.65,9.918687891,17.38131211,72.2,64.46781618,79.93218382,15.68627451,12.52795065,18.84459837
10,10,NA,6.25,3.979625689,8.520374311,6.25,3.979625689,8.520374311,21.93333333,15.03707619,28.82959048,9.895833333,7.713199858,12.07846681
11,11,NA,11.79733333,9.74327605,13.85139062,11.79733333,9.74327605,13.85139062,38.83101852,31.7471256,45.91491143,17.74417139,14.48604669,21.0022961
12,12,NA,20.65044383,18.1492225,23.15166517,20.65044383,18.1492225,23.15166517,48.70185185,40.79397886,56.60972484,17.98125286,14.95504393,21.00746179
13,13,NA,10.4476584,8.312666181,12.58265062,10.4476584,8.312666181,12.58265062,47.22222222,42.50817701,51.93626743,15.74669187,11.918054,19.57532974
14,14,NA,8.689458689,6.27954018,11.0993772,8.689458689,6.27954018,11.0993772,28.11016144,23.69522309,32.52509979,10.33846154,7.511985141,13.16493794
15,15,NA,8.163265306,6.49963834,9.826892272,8.163265306,6.49963834,9.826892272,48.89066667,41.17413895,56.60719438,26.75347222,23.87692578,29.63001866
16,16,NA,13.16666667,10.97767908,15.35565426,13.16666667,10.97767908,15.35565426,55.17037037,48.34695735,61.9937834,26.82445759,22.08575691,31.56315827
17,17,NA,10.95238095,5.912854646,15.99190726,10.95238095,5.912854646,15.99190726,8.888888889,1.435328964,16.34244881,0,NA,NA
18,18,NA,19.0926276,17.19285682,20.99239838,19.0926276,17.19285682,20.99239838,19.39393939,11.45604808,27.33183071,0,NA,NA
19,19,NA,5.454545455,2.763955208,8.145135701,5.454545455,2.763955208,8.145135701,33.12757202,19.0060745,47.24906953,23.33333333,11.98856786,34.67809881
20,20,NA,13.45167653,11.14708577,15.75626729,13.45167653,11.14708577,15.75626729,45.89620485,40.51065679,51.2817529,22.09072978,18.21190545,25.96955411
21,21,NA,12.83950617,10.40303797,15.27597437,12.83950617,10.40303797,15.27597437,72.08804283,65.12663549,79.04945017,24.59136823,20.67272032,28.51001613
22,22,NA,11.25900206,9.307224088,13.21078003,11.25900206,9.307224088,13.21078003,64.18401745,54.10937699,74.25865791,22.70761246,18.82076686,26.59445805
23,23,NA,5.3125,4.209209181,6.415790819,5.3125,4.209209181,6.415790819,44.44444444,35.41773511,53.47115378,16.27314815,11.77383537,20.77246093
24,24,NA,17.7890625,14.65390791,20.92421709,17.7890625,14.65390791,20.92421709,50.27514,43.68881245,56.86146756,14.24014337,11.6331859,16.84710084
25,25,NA,5.204081633,3.214432941,7.193730325,5.204081633,3.214432941,7.193730325,73.95555556,64.45115205,83.45995906,20,20,20
26,26,NA,10,5.757359313,14.24264069,10,5.757359313,14.24264069,66.66666667,47.81048584,85.5228475,13.33333333,7.676479084,18.99018758
27,27,NA,0,0,0,27.17261905,20.25636215,34.08887595,46.97222222,37.84951471,56.09492973,8.106575964,4.886731167,11.32642076
28,28,NA,0,0,0,21.49122807,14.41758822,28.56486792,26.96655133,19.95056097,33.98254168,2.283834586,0.42977006,4.137899113
29,29,NA,0,NA,NA,0,NA,NA,6.666666667,2.8954305,10.43790283,0,NA,NA
30,30,NA,3.12605042,1.799316937,4.452783903,3.12605042,1.799316937,4.452783903,10.53416149,7.577751307,13.49057167,4.673202614,2.057770006,7.288635223
31,31,NA,0,0,0,13.29931973,6.595100903,20.00353855,15.68047337,12.99380698,18.36713976,2.727272727,0.920490281,4.534055174
32,32,NA,0.760869565,-0.376003065,1.897742196,0.760869565,-0.376003065,1.897742196,12.38095238,8.286631965,16.4752728,8.973544974,2.994317915,14.95277203
33,33,NA,0,0,0,29.53217956,26.89461864,32.16974047,19.77124183,13.33256629,26.20991737,3.089430894,0.841157103,5.337704685
34,34,NA,31.775,26.91538607,36.63461393,0,0,0,32.63333333,22.3384217,42.92824497,8.055555556,3.749367673,12.36174344
35,35,NA,9.071180556,5.55033778,12.59202333,9.071180556,5.55033778,12.59202333,34.69387755,25.85509124,43.53266386,8.571428571,4.725093065,12.41776408
36,36,NA,15.22491349,12.19651276,18.25331423,15.22491349,12.19651276,18.25331423,29.15555556,16.39093845,41.92017266,5.925925926,2.843830189,9.008021662
37,37,NA,0,0,0,10.79365079,-0.7345127,22.32181429,22.11734694,19.65235318,24.58234069,0,NA,NA
38,38,NA,0,NA,NA,0,NA,NA,13.33333333,7.676479084,18.99018758,NA,NA,NA
39,39,NA,0,NA,NA,0,NA,NA,2.962962963,-2.208977794,8.13490372,2.962962963,-2.208977794,8.13490372
40,40,NA,0,0,0,48.44907407,36.70534467,60.19280348,61.61242604,49.78265283,73.44219924,15.90909091,8.298427523,23.5197543
41,41,NA,0,0,0,10.0308642,6.312650306,13.74907809,61.44470868,50.0044681,72.88494926,8.653846154,3.767217944,13.54047436
42,42,NA,0,NA,NA,0,NA,NA,20,11.51471863,28.48528137,5,2.878679656,7.121320344
43,43,NA,2.5,0.060249818,4.939750182,2.5,0.060249818,4.939750182,37.14285714,22.02427822,52.26143606,4.444444444,-0.424200511,9.3130894
44,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,46,NA,0,0,0,0,0,0,0,0,0,0,0,0
